Song Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Born To Be Somebody,0.674,0.612,-5.237,0.0293,0.194,0,0.0493,0.31,117.93
Only Thing I Ever Get For Christmas,0.478,0.63,-8.032,0.0518,0.217,0,0.111,0.324,84.822
Mistletoe,0.658,0.56,-9.049,0.0467,0.498,0,0.0794,0.854,161.994
The Christmas Song (Chestnuts Roasting On An Open Fire),0.265,0.436,-9.542,0.0411,0.45,0,0.102,0.159,69.047
Santa Claus Is Coming To Town,0.647,0.758,-6.584,0.0599,0.0272,0,0.292,0.838,104.969
Fa La La,0.657,0.679,-8.606,0.0361,0.0207,3.15e-06,0.198,0.416,94.493
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,0.576,0.911,-5.318,0.064,0.306,0,0.434,0.401,149.998
Drummer Boy,0.751,0.848,-8.32,0.0823,0.0248,0.000127,0.149,0.479,122.99
Christmas Eve,0.411,0.57,-10.54,0.0707,0.689,0,0.173,0.335,127.827
All I Want Is You,0.564,0.823,-8.651,0.0405,0.0461,0,0.109,0.482,149.005
Home This Christmas,0.539,0.628,-6.502,0.0312,0.271,0,0.112,0.493,140.024
Silent Night,0.286,0.0346,-18.395,0.0404,0.958,0,0.115,0.172,77.386
Christmas Love,0.633,0.512,-8.577,0.0294,0.518,0,0.328,0.376,99.944
Fa La La - (a cappella),0.61,0.207,-11.877,0.0319,0.847,0,0.152,0.687,94.525
Pray,0.57,0.797,-7.674,0.0599,0.124,1.13e-06,0.105,0.664,163.969
Someday At Christmas,0.523,0.465,-8.569,0.0328,0.439,0,0.22,0.263,100.668
Baby,0.73,0.848,-5.262,0.101,0.0494,0,0.133,0.559,65.025
Somebody To Love,0.719,0.839,-5.235,0.0257,0.00241,0,0.228,0.636,129.97
Stuck In The Moment,0.718,0.709,-6.354,0.0465,0.15,0,0.156,0.452,90.026
U Smile,0.705,0.605,-5.252,0.03,0.519,1.56e-06,0.117,0.419,112.506
Runaway Love,0.743,0.633,-6.111,0.0319,0.0816,0,0.0966,0.906,104.006
Never Let You Go,0.66,0.802,-4.856,0.0373,0.00205,0,0.399,0.62,103.164
Overboard,0.48,0.79,-5.214,0.0501,0.203,0,0.118,0.468,173.907
Eenie Meenie,0.718,0.605,-4.24,0.0307,0.0443,0,0.0962,0.818,121.236
One Time,0.707,0.833,-2.553,0.0359,0.0808,4.42e-05,0.0778,0.734,145.997
Favorite Girl,0.582,0.694,-4.396,0.055,0.0535,0,0.12,0.643,176.047
Down To Earth,0.536,0.727,-4.861,0.0269,0.398,0,0.434,0.205,82.032
Bigger,0.78,0.748,-2.863,0.121,0.226,0,0.352,0.884,104.075
One Less Lonely Girl,0.577,0.779,-4.404,0.221,0.151,0,0.471,0.716,86.985
First Dance,0.646,0.527,-7.356,0.0478,0.0168,0,0.204,0.287,68.501
Love Me,0.704,0.872,-3.29,0.0794,0.00879,0,0.241,0.714,124.939
Common Denominator - iTunes Bonus,0.655,0.66,-6.544,0.0274,0.227,0,0.0549,0.45,116.959
