Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Drake,0.6693141592920353,0.542216814159292,0.542216814159292,0.22837699115044238,0.18511302212389388,0.00371647685840708,0.1923221238938054,0.3423460176991151,118.1047256637168
Post Malone,0.6239117647058823,0.6113970588235295,0.6113970588235295,0.07400441176470586,0.3223426470588236,0.0160560169117647,0.1415235294117647,0.3386617647058824,125.96169117647057
XXXTENTACION,0.6945063291139242,0.42112987341772146,0.42112987341772146,0.21610000000000004,0.4186505569620253,0.04540032810126582,0.16108227848101264,0.4218075949367089,120.43305063291139
J Balvin,0.7250173913043478,0.7237173913043478,0.7237173913043478,0.11833260869565217,0.2183173913043478,0.01905573086956522,0.17997500000000008,0.7171239130434783,132.61307608695645
Ed Sheeran,0.6511897810218974,0.5174204379562043,0.5174204379562043,0.09165693430656932,0.4866430656934306,0.01075908080291971,0.2316562043795619,0.5198321167883211,106.46832116788318
Eminem,0.7067893401015226,0.7132994923857863,0.7132994923857863,0.3087294416243654,0.22470784517766498,0.009406793248730965,0.32315685279187806,0.5367327411167514,109.6202411167513
Ozuna,0.7239444444444445,0.7360555555555559,0.7360555555555559,0.08434722222222221,0.27176944444444445,0.00031373416666666666,0.16699166666666668,0.6421944444444445,128.8994166666667
Bad Bunny,0.7338,0.5748666666666666,0.5748666666666666,0.11534666666666667,0.2778933333333333,0.00032724733333333334,0.15883333333333335,0.29813333333333325,130.8884666666667
Khalid,0.6231034482758622,0.500448275862069,0.500448275862069,0.08797586206896552,0.4954068965517241,0.14326248551724144,0.17156206896551723,0.399103448275862,106.95172413793107
Ariana Grande,0.630710843373494,0.5981084337349397,0.5981084337349397,0.07707349397590364,0.21387192771084335,2.770072289156626e-05,0.1759265060240964,0.44864698795180713,114.13325301204821
Kendrick Lamar,0.6310784313725488,0.6464771241830062,0.6464771241830062,0.27237581699346414,0.22837750980392152,0.003071763725490196,0.26127320261437903,0.43709346405228766,121.02274509803921
Imagine Dragons,0.5183627450980394,0.7061078431372546,0.7061078431372546,0.052342156862745105,0.13073264705882348,0.013180836862745097,0.1802166666666667,0.3656088235294119,126.11070588235292
Travis Scott,0.6871046511627908,0.5597046511627908,0.5597046511627908,0.11495348837209302,0.1899646395348837,0.12657010767441862,0.19633139534883728,0.299343023255814,127.15225581395352
Dua Lipa,0.6448095238095238,0.6672619047619046,0.6672619047619046,0.06912142857142858,0.10022914285714285,6.28452380952381e-06,0.17405714285714285,0.4501428571428572,107.03340476190479
The Weeknd,0.6021160714285714,0.6119017857142859,0.6119017857142859,0.11507053571428574,0.25008596428571434,0.00969063875,0.1955410714285714,0.34761517857142843,124.98672321428565
Kanye West,0.5897609756097559,0.603854634146342,0.603854634146342,0.2753224390243902,0.2534390926829269,0.018655547121951215,0.2917658536585367,0.49119756097560974,108.41636585365852
David Guetta,0.6503668639053249,0.7082233727810656,0.7082233727810656,0.1540920118343195,0.12901750414201188,0.09906026603550298,0.2295035502958578,0.450577218934911,124.92040828402368
BTS,0.6018388625592419,0.7893127962085305,0.7893127962085305,0.1745199052132702,0.14069387677725118,0.012641430189573458,0.21682748815165873,0.5520270142180095,121.10227962085312
Maroon 5,0.6444524590163936,0.7059049180327871,0.7059049180327871,0.10110590163934428,0.15727216754098355,0.0023054192131147545,0.2279131147540984,0.5658524590163931,118.46209508196723
Cardi B,0.7663055555555555,0.5652499999999999,0.5652499999999999,0.3395222222222223,0.24127123888888885,0.006601104166666667,0.19809444444444446,0.4609999999999999,124.1327222222222
Marshmello,0.5961052631578947,0.8965789473684209,0.8965789473684209,0.04873684210526316,0.006700252631578946,0.4751112631578948,0.2730526315789474,0.46522105263157904,140.7141052631579
Migos,0.7794771241830067,0.6428725490196084,0.6428725490196084,0.1932189542483662,0.1464874986928104,4.7994019607843135e-05,0.232814705882353,0.47338235294117637,134.8216535947711
Shawn Mendes,0.552256880733945,0.5519633027522932,0.5519633027522932,0.07656605504587158,0.34856354128440364,4.49211009174312e-06,0.28639541284403686,0.44433944954128457,119.59728440366969
Taylor Swift,0.6010413625304141,0.5887128953771288,0.5887128953771288,0.178282725060827,0.2597594815085158,0.08172762759124085,0.24148564476885637,0.4300379562043796,117.05360340632609
Camila Cabello,0.6243636363636363,0.5519090909090909,0.5519090909090909,0.12036363636363635,0.40763636363636363,0.00010514545454545455,0.11048181818181818,0.43681818181818177,108.12209090909091
